size,k,model,layers,neurons,dropout,test_mape
20,1,FCNNSmall,3,5,0.0,2.8335607051849365
20,1,FCNNSmall,3,5,0.01,2.7649035453796387
20,1,FCNNSmall,3,5,0.1,2.99830961227417
20,1,FCNNSmall,3,25,0.0,2.6755177974700928
20,1,FCNNSmall,3,25,0.01,2.655219554901123
20,1,FCNNSmall,3,25,0.1,2.689786911010742
20,1,FCNNSmall,3,100,0.0,2.6470718383789062
20,1,FCNNSmall,3,100,0.01,2.6481122970581055
20,1,FCNNSmall,3,100,0.1,2.5515663623809814
20,1,FCNNSmall,4,5,0.0,2.7327938079833984
20,1,FCNNSmall,4,5,0.01,2.740391492843628
20,1,FCNNSmall,4,5,0.1,3.531783103942871
20,1,FCNNSmall,4,25,0.0,2.548570156097412
20,1,FCNNSmall,4,25,0.01,2.557044744491577
20,1,FCNNSmall,4,25,0.1,3.0135157108306885
20,1,FCNNSmall,4,100,0.0,2.5030534267425537
20,1,FCNNSmall,4,100,0.01,2.4850096702575684
20,1,FCNNSmall,4,100,0.1,2.750839948654175
20,1,FCNNSmall,5,5,0.0,2.7030229568481445
20,1,FCNNSmall,5,5,0.01,2.7000880241394043
20,1,FCNNSmall,5,5,0.1,5.067474365234375
20,1,FCNNSmall,5,25,0.0,2.5237388610839844
20,1,FCNNSmall,5,25,0.01,2.5154612064361572
20,1,FCNNSmall,5,25,0.1,4.071905612945557
20,1,FCNNSmall,5,100,0.0,2.5023910999298096
20,1,FCNNSmall,5,100,0.01,2.486607313156128
20,1,FCNNSmall,5,100,0.1,3.002643585205078
20,1,FCNNSmall,6,5,0.0,2.698895215988159
20,1,FCNNSmall,6,5,0.01,2.6540708541870117
20,1,FCNNSmall,6,5,0.1,6.291599273681641
20,1,FCNNSmall,6,25,0.0,2.503317356109619
20,1,FCNNSmall,6,25,0.01,2.523167848587036
20,1,FCNNSmall,6,25,0.1,5.142035961151123
20,1,FCNNSmall,6,100,0.0,2.5114850997924805
20,1,FCNNSmall,6,100,0.01,2.5053510665893555
20,1,FCNNSmall,6,100,0.1,3.7284321784973145
20,1,PCNNSmall,3,5,0.0,3.1844348907470703
20,1,PCNNSmall,3,5,0.01,2.72804594039917
20,1,PCNNSmall,3,5,0.1,3.35957932472229
20,1,PCNNSmall,3,25,0.0,2.6809256076812744
20,1,PCNNSmall,3,25,0.01,2.6582067012786865
20,1,PCNNSmall,3,25,0.1,2.726942300796509
20,1,PCNNSmall,3,100,0.0,2.6236329078674316
20,1,PCNNSmall,3,100,0.01,2.6270828247070312
20,1,PCNNSmall,3,100,0.1,2.5932202339172363
20,1,PCNNSmall,4,5,0.0,2.730992317199707
20,1,PCNNSmall,4,5,0.01,2.6896355152130127
20,1,PCNNSmall,4,5,0.1,3.5085480213165283
20,1,PCNNSmall,4,25,0.0,2.5220541954040527
20,1,PCNNSmall,4,25,0.01,2.5225820541381836
20,1,PCNNSmall,4,25,0.1,2.749885082244873
20,1,PCNNSmall,4,100,0.0,2.5419960021972656
20,1,PCNNSmall,4,100,0.01,2.5450174808502197
20,1,PCNNSmall,4,100,0.1,2.552971124649048
20,1,PCNNSmall,5,5,0.0,2.7446529865264893
20,1,PCNNSmall,5,5,0.01,2.780372142791748
20,1,PCNNSmall,5,5,0.1,4.033979415893555
20,1,PCNNSmall,5,25,0.0,2.5203263759613037
20,1,PCNNSmall,5,25,0.01,2.5012047290802
20,1,PCNNSmall,5,25,0.1,3.2167956829071045
20,1,PCNNSmall,5,100,0.0,2.5296151638031006
20,1,PCNNSmall,5,100,0.01,2.5275137424468994
20,1,PCNNSmall,5,100,0.1,2.745067596435547
20,1,PCNNSmall,6,5,0.0,3.1002135276794434
20,1,PCNNSmall,6,5,0.01,2.8191077709198
20,1,PCNNSmall,6,5,0.1,5.4296793937683105
20,1,PCNNSmall,6,25,0.0,2.5198147296905518
20,1,PCNNSmall,6,25,0.01,2.4971373081207275
20,1,PCNNSmall,6,25,0.1,4.036640644073486
20,1,PCNNSmall,6,100,0.0,2.520317554473877
20,1,PCNNSmall,6,100,0.01,2.5466859340667725
20,1,PCNNSmall,6,100,0.1,2.802729845046997
20,1,FCNNLarge,3,5,0.0,1.791732907295227
20,1,FCNNLarge,3,5,0.01,1.746103286743164
20,1,FCNNLarge,3,5,0.1,1.979177474975586
20,1,FCNNLarge,3,25,0.0,1.6099900007247925
20,1,FCNNLarge,3,25,0.01,1.6088627576828003
20,1,FCNNLarge,3,25,0.1,1.6647590398788452
20,1,FCNNLarge,3,100,0.0,1.6118919849395752
20,1,FCNNLarge,3,100,0.01,1.6017951965332031
20,1,FCNNLarge,3,100,0.1,1.60978102684021
20,1,FCNNLarge,4,5,0.0,1.629126787185669
20,1,FCNNLarge,4,5,0.01,2.01183819770813
20,1,FCNNLarge,4,5,0.1,3.001061201095581
20,1,FCNNLarge,4,25,0.0,1.5892316102981567
20,1,FCNNLarge,4,25,0.01,1.6074328422546387
20,1,FCNNLarge,4,25,0.1,2.335698127746582
20,1,FCNNLarge,4,100,0.0,1.5801700353622437
20,1,FCNNLarge,4,100,0.01,1.565185308456421
20,1,FCNNLarge,4,100,0.1,1.7932981252670288
20,1,FCNNLarge,5,5,0.0,1.6184109449386597
20,1,FCNNLarge,5,5,0.01,1.6673115491867065
20,1,FCNNLarge,5,5,0.1,5.409874439239502
20,1,FCNNLarge,5,25,0.0,1.5807873010635376
20,1,FCNNLarge,5,25,0.01,1.570993423461914
20,1,FCNNLarge,5,25,0.1,4.1492462158203125
20,1,FCNNLarge,5,100,0.0,1.578760027885437
20,1,FCNNLarge,5,100,0.01,1.561942458152771
20,1,FCNNLarge,5,100,0.1,3.046511173248291
20,1,FCNNLarge,6,5,0.0,1.6269561052322388
20,1,FCNNLarge,6,5,0.01,1.689496397972107
20,1,FCNNLarge,6,5,0.1,5.7390666007995605
20,1,FCNNLarge,6,25,0.0,1.5692888498306274
20,1,FCNNLarge,6,25,0.01,1.5852291584014893
20,1,FCNNLarge,6,25,0.1,5.999375820159912
20,1,FCNNLarge,6,100,0.0,1.5622036457061768
20,1,FCNNLarge,6,100,0.01,1.5566824674606323
20,1,FCNNLarge,6,100,0.1,3.4592502117156982
20,1,PCNNLarge,3,5,0.0,2.300051212310791
20,1,PCNNLarge,3,5,0.01,2.0109517574310303
20,1,PCNNLarge,3,5,0.1,2.2887372970581055
20,1,PCNNLarge,3,25,0.0,1.6348456144332886
20,1,PCNNLarge,3,25,0.01,1.6494981050491333
20,1,PCNNLarge,3,25,0.1,1.8419108390808105
20,1,PCNNLarge,3,100,0.0,1.6454224586486816
20,1,PCNNLarge,3,100,0.01,1.6128730773925781
20,1,PCNNLarge,3,100,0.1,1.6702117919921875
20,1,PCNNLarge,4,5,0.0,2.1659204959869385
20,1,PCNNLarge,4,5,0.01,1.6938930749893188
20,1,PCNNLarge,4,5,0.1,2.365849256515503
20,1,PCNNLarge,4,25,0.0,1.6117944717407227
20,1,PCNNLarge,4,25,0.01,1.5910145044326782
20,1,PCNNLarge,4,25,0.1,1.8387393951416016
20,1,PCNNLarge,4,100,0.0,1.60989248752594
20,1,PCNNLarge,4,100,0.01,1.601414442062378
20,1,PCNNLarge,4,100,0.1,1.6877939701080322
20,1,PCNNLarge,5,5,0.0,1.6313061714172363
20,1,PCNNLarge,5,5,0.01,1.697548508644104
20,1,PCNNLarge,5,5,0.1,3.72117280960083
20,1,PCNNLarge,5,25,0.0,1.596909999847412
20,1,PCNNLarge,5,25,0.01,1.5869784355163574
20,1,PCNNLarge,5,25,0.1,2.5540831089019775
20,1,PCNNLarge,5,100,0.0,1.5982410907745361
20,1,PCNNLarge,5,100,0.01,1.5861605405807495
20,1,PCNNLarge,5,100,0.1,2.1689047813415527
20,1,PCNNLarge,6,5,0.0,1.64008629322052
20,1,PCNNLarge,6,5,0.01,1.684923529624939
20,1,PCNNLarge,6,5,0.1,3.2846667766571045
20,1,PCNNLarge,6,25,0.0,1.5862970352172852
20,1,PCNNLarge,6,25,0.01,1.612001895904541
20,1,PCNNLarge,6,25,0.1,4.0915703773498535
20,1,PCNNLarge,6,100,0.0,1.5906621217727661
20,1,PCNNLarge,6,100,0.01,1.606816053390503
20,1,PCNNLarge,6,100,0.1,2.381880044937134
20,2,FCNNSmall,3,5,0.0,2.6743416786193848
20,2,FCNNSmall,3,5,0.01,2.5965516567230225
20,2,FCNNSmall,3,5,0.1,2.830296039581299
20,2,FCNNSmall,3,25,0.0,2.5047290325164795
20,2,FCNNSmall,3,25,0.01,2.4703707695007324
20,2,FCNNSmall,3,25,0.1,2.5124428272247314
20,2,FCNNSmall,3,100,0.0,2.475891351699829
20,2,FCNNSmall,3,100,0.01,2.4816744327545166
20,2,FCNNSmall,3,100,0.1,2.4002435207366943
20,2,FCNNSmall,4,5,0.0,2.551053285598755
20,2,FCNNSmall,4,5,0.01,2.611745834350586
20,2,FCNNSmall,4,5,0.1,4.192937850952148
20,2,FCNNSmall,4,25,0.0,2.408672571182251
20,2,FCNNSmall,4,25,0.01,2.3980839252471924
20,2,FCNNSmall,4,25,0.1,2.8265621662139893
20,2,FCNNSmall,4,100,0.0,2.3813226222991943
20,2,FCNNSmall,4,100,0.01,2.3202991485595703
20,2,FCNNSmall,4,100,0.1,2.618537187576294
20,2,FCNNSmall,5,5,0.0,2.5450074672698975
20,2,FCNNSmall,5,5,0.01,2.4974265098571777
20,2,FCNNSmall,5,5,0.1,4.853309154510498
20,2,FCNNSmall,5,25,0.0,2.3697762489318848
20,2,FCNNSmall,5,25,0.01,2.3737008571624756
20,2,FCNNSmall,5,25,0.1,4.0433349609375
20,2,FCNNSmall,5,100,0.0,2.3259849548339844
20,2,FCNNSmall,5,100,0.01,2.321228265762329
20,2,FCNNSmall,5,100,0.1,3.1666667461395264
20,2,FCNNSmall,6,5,0.0,2.5315232276916504
20,2,FCNNSmall,6,5,0.01,2.4820547103881836
20,2,FCNNSmall,6,5,0.1,6.215993404388428
20,2,FCNNSmall,6,25,0.0,2.387577533721924
20,2,FCNNSmall,6,25,0.01,2.379033327102661
20,2,FCNNSmall,6,25,0.1,5.572065353393555
20,2,FCNNSmall,6,100,0.0,2.3525760173797607
20,2,FCNNSmall,6,100,0.01,2.315976858139038
20,2,FCNNSmall,6,100,0.1,3.273336172103882
20,2,PCNNSmall,3,5,0.0,2.6000876426696777
20,2,PCNNSmall,3,5,0.01,2.529541254043579
20,2,PCNNSmall,3,5,0.1,3.1109731197357178
20,2,PCNNSmall,3,25,0.0,2.4820353984832764
20,2,PCNNSmall,3,25,0.01,2.4746859073638916
20,2,PCNNSmall,3,25,0.1,2.548722267150879
20,2,PCNNSmall,3,100,0.0,2.477860927581787
20,2,PCNNSmall,3,100,0.01,2.4472250938415527
20,2,PCNNSmall,3,100,0.1,2.4226717948913574
20,2,PCNNSmall,4,5,0.0,2.5799643993377686
20,2,PCNNSmall,4,5,0.01,2.524872064590454
20,2,PCNNSmall,4,5,0.1,3.2629311084747314
20,2,PCNNSmall,4,25,0.0,2.3593685626983643
20,2,PCNNSmall,4,25,0.01,2.3642947673797607
20,2,PCNNSmall,4,25,0.1,2.639786958694458
20,2,PCNNSmall,4,100,0.0,2.3705270290374756
20,2,PCNNSmall,4,100,0.01,2.3928582668304443
20,2,PCNNSmall,4,100,0.1,2.449294090270996
20,2,PCNNSmall,5,5,0.0,2.5133609771728516
20,2,PCNNSmall,5,5,0.01,2.570516347885132
20,2,PCNNSmall,5,5,0.1,3.945236921310425
20,2,PCNNSmall,5,25,0.0,2.3623244762420654
20,2,PCNNSmall,5,25,0.01,2.3616864681243896
20,2,PCNNSmall,5,25,0.1,3.1331536769866943
20,2,PCNNSmall,5,100,0.0,2.3698458671569824
20,2,PCNNSmall,5,100,0.01,2.366676092147827
20,2,PCNNSmall,5,100,0.1,2.6542325019836426
20,2,PCNNSmall,6,5,0.0,2.59909987449646
20,2,PCNNSmall,6,5,0.01,2.519596576690674
20,2,PCNNSmall,6,5,0.1,5.779780387878418
20,2,PCNNSmall,6,25,0.0,2.3594019412994385
20,2,PCNNSmall,6,25,0.01,2.3627099990844727
20,2,PCNNSmall,6,25,0.1,3.952772617340088
20,2,PCNNSmall,6,100,0.0,2.347306251525879
20,2,PCNNSmall,6,100,0.01,2.3883347511291504
20,2,PCNNSmall,6,100,0.1,2.748241901397705
20,2,FCNNLarge,3,5,0.0,1.7884275913238525
20,2,FCNNLarge,3,5,0.01,1.7417725324630737
20,2,FCNNLarge,3,5,0.1,2.507484197616577
20,2,FCNNLarge,3,25,0.0,1.6082254648208618
20,2,FCNNLarge,3,25,0.01,1.6080830097198486
20,2,FCNNLarge,3,25,0.1,1.6433449983596802
20,2,FCNNLarge,3,100,0.0,1.612846851348877
20,2,FCNNLarge,3,100,0.01,1.5972715616226196
20,2,FCNNLarge,3,100,0.1,1.5943087339401245
20,2,FCNNLarge,4,5,0.0,1.646499514579773
20,2,FCNNLarge,4,5,0.01,1.976576805114746
20,2,FCNNLarge,4,5,0.1,3.1371657848358154
20,2,FCNNLarge,4,25,0.0,1.5847753286361694
20,2,FCNNLarge,4,25,0.01,1.5712729692459106
20,2,FCNNLarge,4,25,0.1,2.3488829135894775
20,2,FCNNLarge,4,100,0.0,1.5915765762329102
20,2,FCNNLarge,4,100,0.01,1.5703428983688354
20,2,FCNNLarge,4,100,0.1,1.8436466455459595
20,2,FCNNLarge,5,5,0.0,1.6893047094345093
20,2,FCNNLarge,5,5,0.01,1.6796249151229858
20,2,FCNNLarge,5,5,0.1,5.401923656463623
20,2,FCNNLarge,5,25,0.0,1.575047254562378
20,2,FCNNLarge,5,25,0.01,1.5563533306121826
20,2,FCNNLarge,5,25,0.1,4.187868595123291
20,2,FCNNLarge,5,100,0.0,1.576770305633545
20,2,FCNNLarge,5,100,0.01,1.5595800876617432
20,2,FCNNLarge,5,100,0.1,3.102001428604126
20,2,FCNNLarge,6,5,0.0,1.6437829732894897
20,2,FCNNLarge,6,5,0.01,1.6710039377212524
20,2,FCNNLarge,6,5,0.1,5.868553638458252
20,2,FCNNLarge,6,25,0.0,1.5731242895126343
20,2,FCNNLarge,6,25,0.01,1.5722548961639404
20,2,FCNNLarge,6,25,0.1,5.112339019775391
20,2,FCNNLarge,6,100,0.0,1.5722564458847046
20,2,FCNNLarge,6,100,0.01,1.5885025262832642
20,2,FCNNLarge,6,100,0.1,4.085091590881348
20,2,PCNNLarge,3,5,0.0,2.295121431350708
20,2,PCNNLarge,3,5,0.01,1.9663490056991577
20,2,PCNNLarge,3,5,0.1,2.2345616817474365
20,2,PCNNLarge,3,25,0.0,1.6232353448867798
20,2,PCNNLarge,3,25,0.01,1.6851352453231812
20,2,PCNNLarge,3,25,0.1,1.8297337293624878
20,2,PCNNLarge,3,100,0.0,1.639298677444458
20,2,PCNNLarge,3,100,0.01,1.623810052871704
20,2,PCNNLarge,3,100,0.1,1.6657346487045288
20,2,PCNNLarge,4,5,0.0,2.1302127838134766
20,2,PCNNLarge,4,5,0.01,1.7030529975891113
20,2,PCNNLarge,4,5,0.1,2.2574331760406494
20,2,PCNNLarge,4,25,0.0,1.6159001588821411
20,2,PCNNLarge,4,25,0.01,1.5912058353424072
20,2,PCNNLarge,4,25,0.1,1.8162132501602173
20,2,PCNNLarge,4,100,0.0,1.6198314428329468
20,2,PCNNLarge,4,100,0.01,1.5940247774124146
20,2,PCNNLarge,4,100,0.1,1.7074730396270752
20,2,PCNNLarge,5,5,0.0,1.6330723762512207
20,2,PCNNLarge,5,5,0.01,1.7470132112503052
20,2,PCNNLarge,5,5,0.1,3.429779052734375
20,2,PCNNLarge,5,25,0.0,1.5991487503051758
20,2,PCNNLarge,5,25,0.01,1.5994809865951538
20,2,PCNNLarge,5,25,0.1,2.7206263542175293
20,2,PCNNLarge,5,100,0.0,1.6144932508468628
20,2,PCNNLarge,5,100,0.01,1.5896129608154297
20,2,PCNNLarge,5,100,0.1,2.2993762493133545
20,2,PCNNLarge,6,5,0.0,1.6698347330093384
20,2,PCNNLarge,6,5,0.01,1.6942096948623657
20,2,PCNNLarge,6,5,0.1,4.2976298332214355
20,2,PCNNLarge,6,25,0.0,1.587853193283081
20,2,PCNNLarge,6,25,0.01,1.5970656871795654
20,2,PCNNLarge,6,25,0.1,4.086802959442139
20,2,PCNNLarge,6,100,0.0,1.5881885290145874
20,2,PCNNLarge,6,100,0.01,1.5954945087432861
20,2,PCNNLarge,6,100,0.1,2.2329068183898926
20,5,FCNNSmall,3,5,0.0,2.545846462249756
20,5,FCNNSmall,3,5,0.01,2.5000133514404297
20,5,FCNNSmall,3,5,0.1,3.572556257247925
20,5,FCNNSmall,3,25,0.0,2.4037787914276123
20,5,FCNNSmall,3,25,0.01,2.3940601348876953
20,5,FCNNSmall,3,25,0.1,2.420847177505493
20,5,FCNNSmall,3,100,0.0,2.3729162216186523
20,5,FCNNSmall,3,100,0.01,2.3831756114959717
20,5,FCNNSmall,3,100,0.1,2.322434425354004
20,5,FCNNSmall,4,5,0.0,2.4401347637176514
20,5,FCNNSmall,4,5,0.01,2.4607996940612793
20,5,FCNNSmall,4,5,0.1,3.738463878631592
20,5,FCNNSmall,4,25,0.0,2.373960256576538
20,5,FCNNSmall,4,25,0.01,2.3251633644104004
20,5,FCNNSmall,4,25,0.1,2.6439356803894043
20,5,FCNNSmall,4,100,0.0,2.283543825149536
20,5,FCNNSmall,4,100,0.01,2.2764482498168945
20,5,FCNNSmall,4,100,0.1,2.6935760974884033
20,5,FCNNSmall,5,5,0.0,2.5398521423339844
20,5,FCNNSmall,5,5,0.01,2.4355883598327637
20,5,FCNNSmall,5,5,0.1,4.654953956604004
20,5,FCNNSmall,5,25,0.0,2.3036282062530518
20,5,FCNNSmall,5,25,0.01,2.3114495277404785
20,5,FCNNSmall,5,25,0.1,4.398645401000977
20,5,FCNNSmall,5,100,0.0,2.2863352298736572
20,5,FCNNSmall,5,100,0.01,2.260283946990967
20,5,FCNNSmall,5,100,0.1,3.6512529850006104
20,5,FCNNSmall,6,5,0.0,2.387878656387329
20,5,FCNNSmall,6,5,0.01,2.4600236415863037
20,5,FCNNSmall,6,5,0.1,5.782963752746582
20,5,FCNNSmall,6,25,0.0,2.3220720291137695
20,5,FCNNSmall,6,25,0.01,2.3306198120117188
20,5,FCNNSmall,6,25,0.1,5.536664962768555
20,5,FCNNSmall,6,100,0.0,2.255882978439331
20,5,FCNNSmall,6,100,0.01,2.284968852996826
20,5,FCNNSmall,6,100,0.1,4.143908500671387
20,5,PCNNSmall,3,5,0.0,2.4243476390838623
20,5,PCNNSmall,3,5,0.01,2.4059996604919434
20,5,PCNNSmall,3,5,0.1,2.800837516784668
20,5,PCNNSmall,3,25,0.0,2.3627121448516846
20,5,PCNNSmall,3,25,0.01,2.3425726890563965
20,5,PCNNSmall,3,25,0.1,2.4422695636749268
20,5,PCNNSmall,3,100,0.0,2.3520655632019043
20,5,PCNNSmall,3,100,0.01,2.352908134460449
20,5,PCNNSmall,3,100,0.1,2.3074567317962646
20,5,PCNNSmall,4,5,0.0,2.4223272800445557
20,5,PCNNSmall,4,5,0.01,2.397463798522949
20,5,PCNNSmall,4,5,0.1,3.0142135620117188
20,5,PCNNSmall,4,25,0.0,2.272881031036377
20,5,PCNNSmall,4,25,0.01,2.2753124237060547
20,5,PCNNSmall,4,25,0.1,2.5016086101531982
20,5,PCNNSmall,4,100,0.0,2.3134524822235107
20,5,PCNNSmall,4,100,0.01,2.328305244445801
20,5,PCNNSmall,4,100,0.1,2.3363027572631836
20,5,PCNNSmall,5,5,0.0,2.41259765625
20,5,PCNNSmall,5,5,0.01,2.4508204460144043
20,5,PCNNSmall,5,5,0.1,4.005479335784912
20,5,PCNNSmall,5,25,0.0,2.2701923847198486
20,5,PCNNSmall,5,25,0.01,2.2646379470825195
20,5,PCNNSmall,5,25,0.1,3.3965437412261963
20,5,PCNNSmall,5,100,0.0,2.289794445037842
20,5,PCNNSmall,5,100,0.01,2.256542205810547
20,5,PCNNSmall,5,100,0.1,2.6660265922546387
20,5,PCNNSmall,6,5,0.0,2.91512393951416
20,5,PCNNSmall,6,5,0.01,2.5199272632598877
20,5,PCNNSmall,6,5,0.1,5.451777458190918
20,5,PCNNSmall,6,25,0.0,2.2696051597595215
20,5,PCNNSmall,6,25,0.01,2.277243137359619
20,5,PCNNSmall,6,25,0.1,4.611412048339844
20,5,PCNNSmall,6,100,0.0,2.30210280418396
20,5,PCNNSmall,6,100,0.01,2.2592806816101074
20,5,PCNNSmall,6,100,0.1,2.8914425373077393
20,5,FCNNLarge,3,5,0.0,3.022918462753296
20,5,FCNNLarge,3,5,0.01,1.6987773180007935
20,5,FCNNLarge,3,5,0.1,2.0072405338287354
20,5,FCNNLarge,3,25,0.0,1.6128162145614624
20,5,FCNNLarge,3,25,0.01,1.5848885774612427
20,5,FCNNLarge,3,25,0.1,1.6422539949417114
20,5,FCNNLarge,3,100,0.0,1.6190816164016724
20,5,FCNNLarge,3,100,0.01,1.6042627096176147
20,5,FCNNLarge,3,100,0.1,1.5915440320968628
20,5,FCNNLarge,4,5,0.0,3.0264601707458496
20,5,FCNNLarge,4,5,0.01,2.015645742416382
20,5,FCNNLarge,4,5,0.1,3.2879981994628906
20,5,FCNNLarge,4,25,0.0,1.5669057369232178
20,5,FCNNLarge,4,25,0.01,1.5666234493255615
20,5,FCNNLarge,4,25,0.1,2.4312942028045654
20,5,FCNNLarge,4,100,0.0,1.5810508728027344
20,5,FCNNLarge,4,100,0.01,1.5671801567077637
20,5,FCNNLarge,4,100,0.1,2.252065658569336
20,5,FCNNLarge,5,5,0.0,1.6407673358917236
20,5,FCNNLarge,5,5,0.01,1.6396855115890503
20,5,FCNNLarge,5,5,0.1,4.486414909362793
20,5,FCNNLarge,5,25,0.0,1.568778395652771
20,5,FCNNLarge,5,25,0.01,1.5734808444976807
20,5,FCNNLarge,5,25,0.1,4.524881839752197
20,5,FCNNLarge,5,100,0.0,1.5647332668304443
20,5,FCNNLarge,5,100,0.01,1.5554215908050537
20,5,FCNNLarge,5,100,0.1,3.1144096851348877
20,5,FCNNLarge,6,5,0.0,1.6556204557418823
20,5,FCNNLarge,6,5,0.01,1.646135687828064
20,5,FCNNLarge,6,5,0.1,5.3861260414123535
20,5,FCNNLarge,6,25,0.0,1.5626600980758667
20,5,FCNNLarge,6,25,0.01,1.573979377746582
20,5,FCNNLarge,6,25,0.1,6.470340251922607
20,5,FCNNLarge,6,100,0.0,1.5617947578430176
20,5,FCNNLarge,6,100,0.01,1.563206434249878
20,5,FCNNLarge,6,100,0.1,4.162038803100586
20,5,PCNNLarge,3,5,0.0,2.2939937114715576
20,5,PCNNLarge,3,5,0.01,1.962963581085205
20,5,PCNNLarge,3,5,0.1,2.2555835247039795
20,5,PCNNLarge,3,25,0.0,1.6247566938400269
20,5,PCNNLarge,3,25,0.01,1.6418681144714355
20,5,PCNNLarge,3,25,0.1,1.8447712659835815
20,5,PCNNLarge,3,100,0.0,1.6360690593719482
20,5,PCNNLarge,3,100,0.01,1.63346529006958
20,5,PCNNLarge,3,100,0.1,1.6593725681304932
20,5,PCNNLarge,4,5,0.0,2.106924533843994
20,5,PCNNLarge,4,5,0.01,1.7297840118408203
20,5,PCNNLarge,4,5,0.1,2.5747873783111572
20,5,PCNNLarge,4,25,0.0,1.613053321838379
20,5,PCNNLarge,4,25,0.01,1.5888948440551758
20,5,PCNNLarge,4,25,0.1,1.8425898551940918
20,5,PCNNLarge,4,100,0.0,1.6128859519958496
20,5,PCNNLarge,4,100,0.01,1.6098895072937012
20,5,PCNNLarge,4,100,0.1,1.7010434865951538
20,5,PCNNLarge,5,5,0.0,1.6329569816589355
20,5,PCNNLarge,5,5,0.01,1.6904582977294922
20,5,PCNNLarge,5,5,0.1,4.20392370223999
20,5,PCNNLarge,5,25,0.0,1.5927919149398804
20,5,PCNNLarge,5,25,0.01,1.5925655364990234
20,5,PCNNLarge,5,25,0.1,2.5446724891662598
20,5,PCNNLarge,5,100,0.0,1.6001341342926025
20,5,PCNNLarge,5,100,0.01,1.5882792472839355
20,5,PCNNLarge,5,100,0.1,2.315675735473633
20,5,PCNNLarge,6,5,0.0,1.6350277662277222
20,5,PCNNLarge,6,5,0.01,1.6982604265213013
20,5,PCNNLarge,6,5,0.1,4.181859493255615
20,5,PCNNLarge,6,25,0.0,1.5969488620758057
20,5,PCNNLarge,6,25,0.01,1.597920536994934
20,5,PCNNLarge,6,25,0.1,4.450462818145752
20,5,PCNNLarge,6,100,0.0,1.6084061861038208
20,5,PCNNLarge,6,100,0.01,1.6082401275634766
20,5,PCNNLarge,6,100,0.1,2.3276174068450928
20,10,FCNNSmall,3,5,0.0,3.4492111206054688
20,10,FCNNSmall,3,5,0.01,2.5911853313446045
20,10,FCNNSmall,3,5,0.1,3.541714668273926
20,10,FCNNSmall,3,25,0.0,2.383845090866089
